Type,Parameter,Module,Drinking Standard,Standard Agriculture,First Sample, Second  Sample,Third Sample,Fourth Sample,Fifth Sample 
K17,Total Soluble Solids,ppm,1000(1500),-,64.6,94,375.6,77.4,588.8
K17,V,ppm,0.1,0.1,0.005,0.005,0.005,0.005,0.27
K17,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
K18,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
K18,Al,ppm,0.1(0.2),5,0.21,0.88,0.15,0.25,0.17
K18,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K18,B,ppm,0.5,3,0.005,0.005,0.005,0.11,0.21
K18,Ba,ppm,0.7,1,0.005,0.04,0.005,0.06,0.005
K18,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
K18,Br-,ppm,(6)2,-,0.02,0.005,0.005,0.005,0.005
K18,Ca,ppm,300,-,62.6,74.6,46.4,78.3,42.3
K18,Cd,ppm,3,0.01,1,1,1,1,1
K18,Cl-,ppm,250(400),600,20.8,15.7,18.9,22.7,26.6
K18,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K18,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
K18,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
K18,Electrical Conductivity,mS.cm-1,1.5,3,0.447,0.214,0.375,0.751,0.547
K18,F-,ppm,0.5-1.5,1,0.005,0.31,0.005,0.005,0.005
K18,Fe,ppm,0.3,5,0.005,0.53,0.005,0.12,0.14
K18,Hg,ppm,6,-,1,1,1,1,1
K18,K,ppm,12,-,4.41,12.1,0.62,7.82,16.93
K18,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
K18,Mg,ppm,30,100,13.81,14.7,4.36,10.2,5.55
K18,Mn,ppm,0.1(0.4),0.2,0.005,0.19,0.005,0.21,0.18
K18,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
K18,Na,ppm,200,-,69.9,110.5,9.57,213.1,125.3
K18,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
K18,Opacity,NTU,≤1(5),50,17.29,12.37,14.45,9.89,12.4
K18,Oxygen Solution,ppm,-,2,8.4,8.9,8.7,7.1,7.2
K18,P,ppm,-,-,1.24,2.65,0.005,0.32,0.83
K18,Pb,ppm,0.01,1,0.005,0.005,0.005,0.005,0.005
K18,pH,-,6.5-8.5(9),5.4-6.8,8.1,8.4,7.87,8.56,8.32
K18,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
K18,Se,ppm,0.01,0.02,0.64,0.84,0.09,0.28,0.51
K18,Si,ppm,-,-,2.91,10.6,2.88,10.32,15.43
K18,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K18,Sr,ppm,7,-,1.28,0.95,0.26,1.25,0.13
K18,Temperature,◦C,-,-,15.1,13.2,16.6,20.3,17.9
K18,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
K18,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K18,TOC,ppm,2,4,0.549,0.523,0.3,0.337,0.611
K18,Total Soluble Solids,ppm,1000(1500),-,414,136.9,240,470,534
K18,V,ppm,0.1,0.1,0.005,0.005,0.005,0.005,0.005
K18,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
K19,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
K19,Al,ppm,0.1(0.2),5,0.16,0.65,0.22,0.33,0.14
K19,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K19,B,ppm,0.5,3,0.005,0.005,0.13,0.11,0.21
K19,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
K19,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
K19,Br-,ppm,(6)2,-,2.59,1.85,0.95,0.77,1.22
K19,Ca,ppm,300,-,52.13,44.5,90.1,112.4,126.3
K19,Cd,ppm,3,0.01,1,1,1,1,1
K19,Cl-,ppm,250(400),600,228.9,134.9,243.7,135.4,177.89
K19,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K19,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
K19,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
K19,Electrical Conductivity,mS.cm-1,1.5,3,2.01,1.54,1.88,1.99,1.03
K19,F-,ppm,0.5-1.5,1,7.81,0.005,9.32,6.45,1.03
K19,Fe,ppm,0.3,5,0.005,0.005,0.12,0.005,0.14
K19,Hg,ppm,6,-,1,1,2,1,1
K19,K,ppm,12,-,0.39,0.82,16.5,18.3,21.2
K19,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
K19,Mg,ppm,30,100,24.12,5.23,28,29.2,17.8
K19,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.19,0.005,0.31
K19,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
K19,Na,ppm,200,-,231.03,111.1,304.9,422.3,296.9
K19,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
K19,Opacity,NTU,≤1(5),50,80.21,78.42,59.36,61.24,55.09
K19,Oxygen Solution,ppm,-,2,2,1.1,0.9,0.4,0.2
K19,P,ppm,-,-,7.63,0.11,1.48,6.78,8.11
K19,Pb,ppm,0.01,1,0.005,0.005,0.005,0.005,0.005
K19,pH,-,6.5-8.5(9),5.4-6.8,8.24,8,7.9,8.32,8.43
K19,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
K19,Se,ppm,0.01,0.02,0.21,0.005,0.23,0.33,0.92
K19,Si,ppm,-,-,4.88,3.95,8.56,11.28,16.93
K19,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K19,Sr,ppm,7,-,1.14,0.25,1.68,1.11,0.08
K19,Temperature,◦C,-,-,14.8,23.7,25.7,21,18.1
K19,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
K19,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K19,TOC,ppm,2,4,28.37,19.58,11.56,17.47,14.87
K19,Total Soluble Solids,ppm,1000(1500),-,1286,986.2,1207,1278,654.6
K19,V,ppm,0.1,0.1,0.4,0.09,0.5,0.02,0.005
K19,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
K2,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
K2,Al,ppm,0.1(0.2),5,0.005,0.005,0.005,0.03,0.005
K2,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K2,B,ppm,0.5,3,0.005,0.54,0.12,0.23,0.08
K2,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
K2,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
K2,Br-,ppm,(6)2,-,10.24,0.005,1.73,6.38,11.22
K2,Ca,ppm,300,-,40.24,43.9,42.1,45.8,44.86
K2,Cd,ppm,3,0.01,1,1,1,1,1
K2,Cl-,ppm,250(400),600,122.4,98.3,110.7,49.8,50.85
K2,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K2,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
K2,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
K2,Electrical Conductivity,mS.cm-1,1.5,3,1.26,0.934,0.887,0.565,0.493
K2,F-,ppm,0.5-1.5,1,0.15,0.4,0.005,0.005,0.16
K2,Fe,ppm,0.3,5,0.005,0.005,0.25,0.31,0.005
K2,Hg,ppm,6,-,1,1,1,1,1
K2,K,ppm,12,-,2.33,3.47,5.18,3.19,0.89
K2,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
K2,Mg,ppm,30,100,12.63,11.5,9.37,8.42,8.88
K2,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.27,0.34,0.005
K2,Mo,ppm,0.07,0.01,0.005,0.005,0.26,0.14,0.31
K2,Na,ppm,200,-,244.65,247.1,174.6,46.92,32.64
K2,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
K2,Opacity,NTU,≤1(5),50,38.61,27.17,4.57,33.22,53.75
K2,Oxygen Solution,ppm,-,2,3.5,2.7,1.9,1.7,0.7
K2,P,ppm,-,-,0.21,0.3,0.005,0.005,0.005
K2,Pb,ppm,0.01,1,0.005,0.005,0.005,0.005,0.005
K2,pH,-,6.5-8.5(9),5.4-6.8,8.24,7.89,8.54,8.32,8.78
K2,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
K2,Se,ppm,0.01,0.02,0.005,0.005,0.14,0.08,0.07
K2,Si,ppm,-,-,22.3,12.2,7.9,6.3,5.2
K2,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K2,Sr,ppm,7,-,1.03,0.65,0.67,0.43,0.54
K2,Temperature,◦C,-,-,18.3,24.5,24.3,22.6,20.1
K2,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
K2,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K2,TOC,ppm,2,4,1.674,1.668,2.016,1.259,1.461
K2,Total Soluble Solids,ppm,1000(1500),-,806.4,597.7,567.6,361.6,315.5
K2,V,ppm,0.1,0.1,0.005,0.005,0.005,0.005,0.005
K2,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
K3,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
K3,Al,ppm,0.1(0.2),5,0.11,0.28,0.74,0.03,0.005
K3,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K3,B,ppm,0.5,3,0.005,0.005,0.35,0.41,0.11
K3,Ba,ppm,0.7,1,0.06,0.11,0.41,0.67,0.23
K3,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
K3,Br-,ppm,(6)2,-,86.4,93.3,415.8,98.7,312.1
K3,Ca,ppm,300,-,45.24,78.8,98.7,50.1,49.3
K3,Cd,ppm,3,0.01,1,1,1,1,1
K3,Cl-,ppm,250(400),600,228.7,42.5,100.2,52.43,48.7
K3,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K3,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
K3,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
K3,Electrical Conductivity,mS.cm-1,1.5,3,1.18,1.34,1.52,1.18,1.38
K3,F-,ppm,0.5-1.5,1,0.06,0.005,15,0.21,0.14
K3,Fe,ppm,0.3,5,0.005,0.27,0.63,0.32,0.88
K3,Hg,ppm,6,-,0.18,0.12,1,1,1
K3,K,ppm,12,-,4.85,9.81,41.01,32.1,28.7
K3,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
K3,Mg,ppm,30,100,6.54,7.97,25.2,28.7,23.2
K3,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.2,0.12,0.005
K3,Mo,ppm,0.07,0.01,0.005,0.005,0.33,0.19,0.26
K3,Na,ppm,200,-,287.52,247.3,144.4,154.9,138.7
K3,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
K3,Opacity,NTU,≤1(5),50,39.74,25.54,15.67,35.01,28.5
K3,Oxygen Solution,ppm,-,2,4.2,3.1,2.3,1.6,1.2
K3,P,ppm,-,-,0.17,0.26,0.88,0.24,0.32
K3,Pb,ppm,0.01,1,0.005,0.02,0.005,0.005,0.005
K3,pH,-,6.5-8.5(9),5.4-6.8,7.99,7.36,8.12,8.24,7.87
K3,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
K3,Se,ppm,0.01,0.02,0.005,0.005,0.23,0.32,0.29
K3,Si,ppm,-,-,7.3,9.65,8.6,6.94,4.24
K3,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K3,Sr,ppm,7,-,0.94,0.47,1.28,2.62,0.87
K3,Temperature,◦C,-,-,18.8,19.2,25.2,23.36,21.85
K3,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
K3,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K3,TOC,ppm,2,4,17.43,16.73,10.87,14.79,15.23
K3,Total Soluble Solids,ppm,1000(1500),-,755.3,858.2,972.5,755.1,883.2
K3,V,ppm,0.1,0.1,0.005,0.005,0.005,0.005,0.005
K3,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
K4,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
K4,Al,ppm,0.1(0.2),5,0.005,0.29,0.97,0.03,0.005
K4,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K4,B,ppm,0.5,3,0.005,0.92,0.35,0.43,0.08
K4,Ba,ppm,0.7,1,0.1,0.49,0.53,0.52,0.48
K4,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
K4,Br-,ppm,(6)2,-,298.3,310.1,426.1,412.5,269.7
K4,Ca,ppm,300,-,57.1,133.3,111.9,58.2,60.4
K4,Cd,ppm,3,0.01,1,1,1,1,1
K4,Cl-,ppm,250(400),600,227.7,249.3,34.2,48.4,42.3
K4,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K4,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
K4,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
K4,Electrical Conductivity,mS.cm-1,1.5,3,1.21,1.35,1.58,1.22,1.41
K4,F-,ppm,0.5-1.5,1,0.23,0.005,0.005,0.005,0.12
K4,Fe,ppm,0.3,5,0.005,0.59,0.63,0.33,0.11
K4,Hg,ppm,6,-,1,1,1,1,1
K4,K,ppm,12,-,5.1,40.3,42.4,34.21,30.2
K4,Li,ppm,-,2.5,0.005,0.18,0.005,0.005,0.005
K4,Mg,ppm,30,100,7.8,22.2,26.1,30.8,25.4
K4,Mn,ppm,0.1(0.4),0.2,0.09,0.26,0.2,0.18,0.31
K4,Mo,ppm,0.07,0.01,0.005,0.37,0.33,0.27,0.32
K4,Na,ppm,200,-,287.52,223.5,144.4,154.9,138.7
K4,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
K4,Opacity,NTU,≤1(5),50,38.4,26.18,14.95,35.02,26.84
K4,Oxygen Solution,ppm,-,2,5.1,2.9,1.8,2.2,2
K4,P,ppm,-,-,0.23,0.22,0.88,0.43,0.28
K4,Pb,ppm,0.01,1,0.005,0.005,0.005,0.005,0.005
K4,pH,-,6.5-8.5(9),5.4-6.8,8.1,7.34,8.13,8.31,7.67
K4,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
K4,Se,ppm,0.01,0.02,0.005,0.02,0.23,0.28,0.31
K4,Si,ppm,-,-,8.2,17.7,12.9,6.87,5.1
K4,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K4,Sr,ppm,7,-,0.86,1.43,1.28,2.8,1.1
K4,Temperature,◦C,-,-,19,19.5,25.6,23.4,22.1
K4,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
K4,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K4,TOC,ppm,2,4,24.21,82.54,24.97,54.71,36.14
K4,Total Soluble Solids,ppm,1000(1500),-,774.1,864,1011,780.7,902.4
K4,V,ppm,0.1,0.1,0.005,0.005,0.005,0.005,0.005
K4,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
K5,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
K5,Al,ppm,0.1(0.2),5,0.005,0.005,0.005,0.005,0.005
K5,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K5,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
K5,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
K5,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
K5,Br-,ppm,(6)2,-,8.4,3.21,18.5,12.3,6.8
K5,Ca,ppm,300,-,47.3,34.1,61.3,56.2,39.8
K5,Cd,ppm,3,0.01,1,1,1,1,1
K5,Cl-,ppm,250(400),600,25.5,17.9,63.5,19.8,17.6
K5,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K5,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
K5,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
K5,Electrical Conductivity,mS.cm-1,1.5,3,0.981,1.02,0.83,0.682,0.797
K5,F-,ppm,0.5-1.5,1,0.005,0.005,0.005,22,0.08
K5,Fe,ppm,0.3,5,0.005,0.22,0.44,0.13,0.005
K5,Hg,ppm,6,-,1,1,1,1,1
K5,K,ppm,12,-,4.2,8.26,9.55,13.21,6.2
K5,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
K5,Mg,ppm,30,100,4.2,3.04,2.97,2.9,6.7
K5,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.005,0.005,0.005
K5,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
K5,Na,ppm,200,-,86.52,27,55.6,53.9,49.5
K5,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
K5,Opacity,NTU,≤1(5),50,48.2,54.3,20.45,26.89,25.4
K5,Oxygen Solution,ppm,-,2,3.9,3.1,2.3,1.7,2.2
K5,P,ppm,-,-,0.05,89,0.11,0.36,0.25
K5,Pb,ppm,0.01,1,0.005,0.005,0.005,0.005,0.005
K5,pH,-,6.5-8.5(9),5.4-6.8,7.93,7.72,8.16,7.88,8.45
K5,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
K5,Se,ppm,0.01,0.02,0.005,0.005,0.005,0.005,0.005
K5,Si,ppm,-,-,6.3,3.1,5.73,7.28,4.3
K5,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K5,Sr,ppm,7,-,0.08,0.14,0.42,0.66,0.54
K5,Temperature,◦C,-,-,22.1,26.2,25.4,27.9,23.8
K5,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
K5,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K5,TOC,ppm,2,4,6.547,7.423,19.07,10.21,16.73
K5,Total Soluble Solids,ppm,1000(1500),-,627.8,654.08,531,436.4,510
K5,V,ppm,0.1,0.1,0.005,0.005,0.005,0.005,0.005
K5,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
K6,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
K6,Al,ppm,0.1(0.2),5,0.005,0.06,0.005,0.005,0.005
K6,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K6,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
K6,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
K6,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
K6,Br-,ppm,(6)2,-,12.3,54.9,20.2,32.4,18.9
K6,Ca,ppm,300,-,48.1,70.2,58.7,55.3,42.4
K6,Cd,ppm,3,0.01,1,1,1,1,1
K6,Cl-,ppm,250(400),600,25.5,88.2,49.7,20.2,17.4
K6,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K6,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
K6,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
K6,Electrical Conductivity,mS.cm-1,1.5,3,0.91,1.13,0.813,0.71,0.772
K6,F-,ppm,0.5-1.5,1,0.005,0.005,0.005,27,0.05
K6,Fe,ppm,0.3,5,0.005,0.16,0.57,0.13,0.005
K6,Hg,ppm,6,-,1,1,1,1,1
K6,K,ppm,12,-,4.5,8.62,6.12,13.32,6.4
K6,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
K6,Mg,ppm,30,100,4.3,4.04,2.97,3.1,6.4
K6,Mn,ppm,0.1(0.4),0.2,0.78,0.59,0.005,0.005,0.005
K6,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
K6,Na,ppm,200,-,85.01,79.1,58.2,54.2,47.5
K6,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
K6,Opacity,NTU,≤1(5),50,48.5,51.22,20.43,26.91,27.28
K6,Oxygen Solution,ppm,-,2,3.9,3.2,2.8,1.6,1.9
K6,P,ppm,-,-,0.05,0.12,0.25,0.34,0.17
K6,Pb,ppm,0.01,1,0.005,0.005,0.005,0.005,0.005
K6,pH,-,6.5-8.5(9),5.4-6.8,7.89,7.66,8.19,7.89,8.44
K6,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
K6,Se,ppm,0.01,0.02,0.005,0.005,0.005,0.005,0.005
K6,Si,ppm,-,-,6.5,5.84,5.01,7.44,4.9
K6,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K6,Sr,ppm,7,-,0.11,0.26,0.74,0.59,0.48
K6,Temperature,◦C,-,-,22.2,26.1,25.2,28,23.7
K6,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
K6,Tl,ppm,-,-,0.005,0.73,0.005,0.005,0.005
K6,TOC,ppm,2,4,10.24,13.92,12.87,15.87,12.98
K6,Total Soluble Solids,ppm,1000(1500),-,582.4,724.4,520.2,545.4,494
K6,V,ppm,0.1,0.1,0.005,0.005,0.005,0.005,0.005
K6,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
K7,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
K7,Al,ppm,0.1(0.2),5,0.005,0.26,0.23,0.11,0.91
K7,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K7,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
K7,Ba,ppm,0.7,1,0.005,0.005,0.43,0.11,0.005
K7,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
K7,Br-,ppm,(6)2,-,14.3,37.7,0.005,1.38,9.76
K7,Ca,ppm,300,-,50.1,51.7,97.8,54.3,42.9
K7,Cd,ppm,3,0.01,1,1,1,1,1
K7,Cl-,ppm,250(400),600,24.9,15.9,93.1,19.8,17
K7,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K7,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
K7,Cu,ppm,1(2),0.2,0.005,0.005,0.27,0.08,0.11
K7,Electrical Conductivity,mS.cm-1,1.5,3,0.961,1.12,0.89,0.785,0.81
K7,F-,ppm,0.5-1.5,1,0.005,0.005,0.005,0.03,0.005
K7,Fe,ppm,0.3,5,0.005,0.1,0.43,0.16,0.005
K7,Hg,ppm,6,-,1,1,0.23,0.15,1
K7,K,ppm,12,-,4.6,4.96,16.6,13.43,6.8
K7,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
K7,Mg,ppm,30,100,4.2,2.16,17.2,3.9,7.9
K7,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.73,0.54,0.005
K7,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
K7,Na,ppm,200,-,84.1,14.7,49.1,58.1,45.5
K7,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
K7,Opacity,NTU,≤1(5),50,48.18,53.41,21.44,27.37,26.8
K7,Oxygen Solution,ppm,-,2,3.9,3.4,2.9,1.6,1.9
K7,P,ppm,-,-,0.08,82,0.14,0.41,0.15
K7,Pb,ppm,0.01,1,0.005,0.005,0.37,0.29,0.21
K7,pH,-,6.5-8.5(9),5.4-6.8,7.86,7.62,8.18,8.1,8.43
K7,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
K7,Se,ppm,0.01,0.02,0.005,0.005,0.05,0.07,0.005
K7,Si,ppm,-,-,6.7,4.33,15.5,7.74,5.1
K7,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K7,Sr,ppm,7,-,0.14,0.94,1.05,0.61,0.51
K7,Temperature,◦C,-,-,22.1,26.3,25.1,28.2,23.8
K7,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
K7,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K7,TOC,ppm,2,4,10.18,9.324,12.87,17.24,12.54
K7,Total Soluble Solids,ppm,1000(1500),-,615,716.4,569.5,502.4,518.4
K7,V,ppm,0.1,0.1,0.005,0.24,0.005,0.005,0.005
K7,Zn,ppm,3,2,0.005,0.005,0.53,0.71,0.31
K8,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
K8,Al,ppm,0.1(0.2),5,0.08,0.12,0.14,0.15,0.12
K8,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K8,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
K8,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
K8,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
K8,Br-,ppm,(6)2,-,3.2,5.4,0.005,0.8,10.28
K8,Ca,ppm,300,-,51.7,44.6,94.1,53.9,42.7
K8,Cd,ppm,3,0.01,1,1,1,1,1
K8,Cl-,ppm,250(400),600,25.6,24.8,90.3,20.2,19
K8,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K8,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
K8,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
K8,Electrical Conductivity,mS.cm-1,1.5,3,0.97,0.996,0.969,0.744,0.791
K8,F-,ppm,0.5-1.5,1,0.005,0.005,0.005,0.04,0.06
K8,Fe,ppm,0.3,5,0.005,0.38,0.53,0.2,0.11
K8,Hg,ppm,6,-,1,1,0.4,0.2,1
K8,K,ppm,12,-,4.8,6.61,17.3,13.75,6.74
K8,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
K8,Mg,ppm,30,100,4.8,3.13,13.4,4.1,7.5
K8,Mn,ppm,0.1(0.4),0.2,0.17,0.21,0.14,0.16,0.2
K8,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.18,0.005
K8,Na,ppm,200,-,86.3,19.9,64.1,54.1,43.2
K8,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
K8,Opacity,NTU,≤1(5),50,48.2,47.83,51.97,26.81,27.14
K8,Oxygen Solution,ppm,-,2,3.9,3.1,2.4,1.8,1.8
K8,P,ppm,-,-,0.12,47,0.41,0.47,0.21
K8,Pb,ppm,0.01,1,0.005,0.005,0.26,0.31,0.37
K8,pH,-,6.5-8.5(9),5.4-6.8,7.85,7.66,7.69,8.23,8.13
K8,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
K8,Se,ppm,0.01,0.02,0.005,0.005,0.07,0.59,0.81
K8,Si,ppm,-,-,7.1,4.69,7.67,8.13,4.9
K8,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K8,Sr,ppm,7,-,0.19,0.11,0.89,0.72,0.45
K8,Temperature,◦C,-,-,22.2,26.4,31.1,28.1,24.9
K8,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
K8,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K8,TOC,ppm,2,4,11.82,11.76,20.21,14.57,14.74
K8,Total Soluble Solids,ppm,1000(1500),-,620.8,637.4,620.1,476.2,506.2
K8,V,ppm,0.1,0.1,0.005,0.32,0.005,0.005,0.005
K8,Zn,ppm,3,2,0.005,0.005,0.21,0.005,0.18
K9,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
K9,Al,ppm,0.1(0.2),5,0.005,0.96,0.23,0.46,0.005
K9,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K9,B,ppm,0.5,3,0.005,0.005,0.45,0.21,0.11
K9,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
