Type,Parameter,Module,Drinking Standard,Standard Agriculture,First Sample, Second  Sample,Third Sample,Fourth Sample,Fifth Sample 
K11,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K11,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
K11,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
K11,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
K11,Br-,ppm,(6)2,-,187.1,213.7,200.4,200.4,200.4
K11,Ca,ppm,300,-,78.4,89.9,84.2,84.2,84.2
K11,Cd,ppm,3,0.01,1,1,1,1,1
K11,Cl-,ppm,250(400),600,35.7,40.6,38.2,38.2,38.2
K11,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K11,Cr,ppm,0.05,0.1,0.005,0.14,0.005,0.005,0.005
K11,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
K11,Electrical Conductivity,mS.cm-1,1.5,3,1.12,0.924,0.46256,0.46256,0.46256
K11,F-,ppm,0.5-1.5,1,0.005,0.005,0.005,0.005,0.005
K11,Fe,ppm,0.3,5,0.005,0.25,12.5025,12.5025,12.5025
K11,Hg,ppm,6,-,1,1,1,1,1
K11,K,ppm,12,-,4.32,5.57,4.95,4.95,4.95
K11,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
K11,Mg,ppm,30,100,10.2,7.97,9.085,9.085,9.085
K11,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.005,0.005,0.005
K11,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
K11,Na,ppm,200,-,70.3,47.3,58.8,58.8,58.8
K11,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
K11,Opacity,NTU,≤1(5),50,20.3,14.34,17.32,17.32,17.32
K11,Oxygen Solution,ppm,-,2,4.1,3.4,3.8,3.8,3.8
K11,P,ppm,-,-,0.35,61,30.675,30.675,30.675
K11,Pb,ppm,0.01,1,0.005,0.005,0.005,0.005,0.005
K11,pH,-,6.5-8.5(9),5.4-6.8,7.75,7.81,7.78,7.78,7.78
K11,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
K11,Se,ppm,0.01,0.02,0.005,0.41,20.5025,20.5025,20.5025
K11,Si,ppm,-,-,8.29,8.75,8.52,8.52,8.52
K11,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K11,Sr,ppm,7,-,0.88,0.74,0.81,0.81,0.81
K11,Temperature,◦C,-,-,17.8,20.8,19.3,19.3,19.3
K11,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
K11,Tl,ppm,-,-,0.005,0.87,0.005,0.005,0.005
K11,TOC,ppm,2,4,9.245,5.725,7.485,7.485,7.485
K11,Total Soluble Solids,ppm,1000(1500),-,710.6,591.3,651.0,651.0,651.0
K11,V,ppm,0.1,0.1,0.005,0.17,0.0875,0.0875,0.0875
K11,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
K12,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
K12,Al,ppm,0.1(0.2),5,0.005,0.005,0.005,0.005,0.005
K12,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K12,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
K12,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
K12,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
K12,Br-,ppm,(6)2,-,154.1,163.3,158.7,158.7,158.7
K12,Ca,ppm,300,-,74.8,79.3,77.1,77.1,77.1
K12,Cd,ppm,3,0.01,1,1,1,1,1
K12,Cl-,ppm,250(400),600,76.3,81.4,78.9,78.9,78.9
K12,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K12,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
K12,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
K12,Electrical Conductivity,mS.cm-1,1.5,3,1.36,1.45,1.41,1.41,1.41
K12,F-,ppm,0.5-1.5,1,0.005,0.005,0.005,0.005,0.005
K12,Fe,ppm,0.3,5,0.005,0.005,0.005,0.005,0.005
K12,Hg,ppm,6,-,1,0.25,0.625,0.625,0.625
K12,K,ppm,12,-,2.9,5.05,3.975,3.975,3.975
K12,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
K12,Mg,ppm,30,100,11.2,12.9,12.1,12.1,12.1
K12,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.005,0.005,0.005
K12,Mo,ppm,0.07,0.01,0.005,0.25,0.005,0.005,0.005
K12,Na,ppm,200,-,131.1,151.6,141.4,141.4,141.4
K12,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
K12,Opacity,NTU,≤1(5),50,56.22,48.71,52.47,52.47,52.47
K12,Oxygen Solution,ppm,-,2,1.7,2.4,2.1,2.1,2.1
K12,P,ppm,-,-,0.69,0.26,0.48,0.48,0.48
K12,Pb,ppm,0.01,1,0.005,0.005,0.005,0.005,0.005
K12,pH,-,6.5-8.5(9),5.4-6.8,7.68,7.85,7.77,7.77,7.77
K12,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
K12,Se,ppm,0.01,0.02,0.005,0.005,0.005,0.005,0.005
K12,Si,ppm,-,-,9.6,10.7,10.2,10.2,10.2
K12,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K12,Sr,ppm,7,-,0.67,1.05,0.86,0.86,0.86
K12,Temperature,◦C,-,-,20.1,25.8,23.0,23.0,23.0
K12,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
K12,Tl,ppm,-,-,0.005,0.71,0.005,0.005,0.005
K12,TOC,ppm,2,4,8.673,2.784,5.729,5.729,5.729
K12,Total Soluble Solids,ppm,1000(1500),-,871,928,899.5,899.5,899.5
K12,V,ppm,0.1,0.1,0.005,0.62,0.005,0.005,0.005
K12,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
K13,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
K13,Al,ppm,0.1(0.2),5,0.005,0.26,0.12,0.13,0.005
K13,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K13,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
K13,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
K13,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
